url;img;position;track;artists;streams
https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw;https://i.scdn.co/image/ab67616d00004851b0aa687ae0900288e213e4dd;30;Arranhão - Ao Vivo;['Henrique & Juliano'];332237
https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia;https://i.scdn.co/image/ab67616d000048516945d82b02f6b0c4eaf1eef2;31;Vagabundo;['Matheus & Kauan', 'Zé Vaqueiro'];330146
https://open.spotify.com/track/2YBKO08Wkc3eP5JdUSwng8;https://i.scdn.co/image/ab67616d000048515722ad4a2e4a8bc1de33dab1;32;Eu Tenho a Senha;['João Gomes'];326003
https://open.spotify.com/track/79Wou8NwYEFzTyDQudjENF;https://i.scdn.co/image/ab67616d00004851754b8b3d6d58bcdca4fd329d;33;Desbloqueado - Ao Vivo;['Diego & Victor Hugo'];325218
https://open.spotify.com/track/4mdlehe2znCTAzlFhrOa09;https://i.scdn.co/image/ab67616d00004851816c9444bab85aa203f422bc;34;Chamo Teu Vulgo Malvadão;['mc jhenny', 'DJ KOSTA 22'];312711
https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah;https://i.scdn.co/image/ab67616d0000485185fe636bdf2308ee44b18452;35;Localiza Aí BB;['Vitor e Luan', 'Henrique & Juliano'];311551
https://open.spotify.com/track/4cKn3YjlRNowwNQi5LuZkk;https://i.scdn.co/image/ab67616d00004851f14c0f877097c07939a31c7d;36;SORRIA;['Luan Santana', 'Mc Don Juan'];302756
https://open.spotify.com/track/1QiZYlh3oZg3zgn8eS99aB;https://i.scdn.co/image/ab67616d000048515722ad4a2e4a8bc1de33dab1;37;Mete Um Block Nele;['João Gomes'];290636
https://open.spotify.com/track/2upubCYkDvATo6ZZwHqrp9;https://i.scdn.co/image/ab67616d00004851cc10f4ca3538cc0d0ea401c3;38;VIP *-*;['Luísa Sonza', '6LACK'];287332
https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG;https://i.scdn.co/image/ab67616d0000485110fd04f0803af98839d6c252;39;Liberdade (Quando o Grave Bate Forte);['Alok', 'Mc Don Juan', 'Dj GBR'];284654
https://open.spotify.com/track/3q6ZCGgFDIVCJQ5XG4JTL2;https://i.scdn.co/image/ab67616d0000485192136166a9161b460b733674;40;Apê 1001;['BIN', 'LUDMILLA', 'Mainstreet', 'Dallass'];283969
https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S;https://i.scdn.co/image/ab67616d0000485103bc808cc7c8eabd36483181;41;Tipo Gin - Ao Vivo;['MC Kevin o Chris'];283227
https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge;https://i.scdn.co/image/ab67616d00004851965756c004b4b8c41e9c2a57;42;Vou falar que não quero;['Vitor Fernandes'];269909
https://open.spotify.com/track/5AhnPqydkYbZAp4NkyJ7ED;https://i.scdn.co/image/ab67616d00004851978de7ade28ae17dea682a90;43;ATENÇÃO;['PEDRO SAMPAIO', 'Luísa Sonza'];269784
https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;44;good 4 u;['Olivia Rodrigo'];269605
https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX;https://i.scdn.co/image/ab67616d000048518e6551a2944764bc8e33a960;45;STAY (with Justin Bieber);['The Kid LAROI'];266603
https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd;https://i.scdn.co/image/ab67616d00004851664034dd80e91b28f773598d;46;MONTERO (Call Me By Your Name);['Lil Nas X'];266413
https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr;https://i.scdn.co/image/ab67616d00004851c5c49306ff2d4f961e3b2d79;47;Tapão Na Raba;['Raí Saia Rodada'];264426
https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe;https://i.scdn.co/image/ab67616d000048515eba99fd76c96ae206756326;48;Troca de Calçada;['Marília Mendonça'];259358
https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC;https://i.scdn.co/image/ab67616d00004851f31a4cd4fcf00749d0d49422;49;Paradigmas;['Jorge & Mateus'];257746
https://open.spotify.com/track/6Aw11M9NT2tBeEj3mPKrjy;https://i.scdn.co/image/ab67616d00004851754b8b3d6d58bcdca4fd329d;50;Facas - Ao Vivo;['Diego & Victor Hugo', 'Bruno & Marrone'];253448
https://open.spotify.com/track/1h4u5t0EJZki8ieNGwwFXc;https://i.scdn.co/image/ab67616d00004851f9e47cf69a9429e572e9bb09;51;Volta Comigo BB;['Zé Vaqueiro'];245193
https://open.spotify.com/track/2aqqXrjrPdRHU9uSeRmL3C;https://i.scdn.co/image/ab67616d000048513aecc384f36e54a29fef76c6;52;Menina Se Prepara;['Mc Pepeu', 'DJ Swat'];227922
https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l;https://i.scdn.co/image/ab67616d000048513bd9e001b33f29b49117bd70;53;Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo;['Os Barões Da Pisadinha'];223652
https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4;https://i.scdn.co/image/ab67616d000048518d6947af92dfa677804ce9a1;54;Disco Arranhado - Funk Remix;['Malu', 'DJ Lucas Beat'];221203
https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;55;Need To Know;['Doja Cat'];220512
https://open.spotify.com/track/0Iw6WyxOrleibC0j0fRJmk;https://i.scdn.co/image/ab67616d00004851cc10f4ca3538cc0d0ea401c3;56;INTERE$$EIRA;['Luísa Sonza'];219828
https://open.spotify.com/track/1uP6LzGFVwX2h2D39mOglz;https://i.scdn.co/image/ab67616d000048518163223e30f2a206697fec99;57;Eu Rebolo Sim;['Mc Branquinha'];216115
https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk;https://i.scdn.co/image/ab67616d00004851a6baa834d7f707b98cf8be48;58;Coração Na Cama - Ao Vivo;['Hugo & Guilherme'];210763
https://open.spotify.com/track/73ghohUx3BscZn4hQbD35X;https://i.scdn.co/image/ab67616d00004851f045815bf29cc0d67171b4b2;59;Faxina (Ao Vivo No Casa Filtr);['Guilherme & Benuto', 'Os Barões Da Pisadinha'];200745
https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL;https://i.scdn.co/image/ab67616d000048514de0c17a8000b1d33c174f1d;60;Acaso;['Vitor Fernandes'];193799
https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE;https://i.scdn.co/image/ab67616d0000485114a5222ca8fdf13d5c050496;61;Bad Habits;['Ed Sheeran'];191275
https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx;https://i.scdn.co/image/ab67616d000048515db28a1d89e17900a5d4372c;62;Sigilo;['Guilherme & Benuto'];190413
https://open.spotify.com/track/1a17gIb57XhPj2CMbqYABw;https://i.scdn.co/image/ab67616d00004851a6baa834d7f707b98cf8be48;63;Pingo de Dó - Ao Vivo;['Hugo & Guilherme'];185029
